frame,abstime,reltime,Function 1 [C]
755,32:48.6,754.35,1.68E+02
756,32:49.6,755.351,1.67E+02
757,32:50.6,756.352,1.67E+02
758,32:51.6,757.353,1.66E+02
759,32:52.6,758.354,1.66E+02
760,32:53.6,759.354,1.65E+02
761,32:54.6,760.355,1.64E+02
762,32:55.6,761.355,1.64E+02
763,32:56.6,762.357,1.63E+02
764,32:57.6,763.358,1.62E+02
765,32:58.6,764.359,1.62E+02
766,32:59.6,765.36,1.61E+02
767,32:59.8,765.507,1.60E+02
768,33:01.6,767.33,1.60E+02
769,33:02.6,768.33,1.59E+02
770,33:03.6,769.332,1.58E+02
771,33:04.6,770.333,1.58E+02
772,33:05.6,771.333,1.57E+02
773,33:06.6,772.335,1.57E+02
774,33:07.6,773.335,1.56E+02
775,33:08.6,774.336,1.56E+02
776,33:09.6,775.337,1.55E+02
777,33:10.6,776.338,1.54E+02
778,33:11.6,777.338,1.54E+02
779,33:12.6,778.34,1.54E+02
780,33:13.6,779.341,1.54E+02
781,33:14.6,780.308,1.53E+02
782,33:15.6,781.309,1.53E+02
783,33:16.6,782.31,1.53E+02
784,33:17.6,783.312,1.52E+02
785,33:18.6,784.312,1.51E+02
786,33:19.6,785.313,1.51E+02
787,33:20.6,786.313,1.51E+02
788,33:21.6,787.315,1.50E+02
789,33:22.6,788.315,1.50E+02
790,33:23.6,789.316,1.50E+02
791,33:24.6,790.317,1.49E+02
792,33:25.6,791.317,1.49E+02
793,33:26.6,792.318,1.48E+02
794,33:27.6,793.32,1.48E+02
795,33:28.6,794.321,1.48E+02
796,33:29.6,795.321,1.47E+02
797,33:30.6,796.323,1.47E+02
798,33:31.6,797.323,1.47E+02
799,33:32.6,798.324,1.47E+02
800,33:33.6,799.326,1.46E+02
801,33:34.6,800.326,1.45E+02
802,33:35.6,801.326,1.45E+02
803,33:36.6,802.327,1.45E+02
804,33:37.6,803.328,1.44E+02
805,33:38.6,804.33,1.44E+02
806,33:39.6,805.33,1.43E+02
809,33:42.6,808.332,1.43E+02
810,33:43.6,809.334,1.43E+02
811,33:44.6,810.335,1.41E+02
821,33:54.5,820.278,2.18E+02
822,33:55.5,821.279,2.16E+02
823,33:56.5,822.28,2.14E+02
824,33:57.5,823.281,2.11E+02
825,33:58.5,824.281,2.09E+02
826,33:59.5,825.283,2.07E+02
827,34:00.5,826.284,2.06E+02
828,34:01.5,827.285,2.03E+02
829,34:02.5,828.286,2.02E+02
830,34:03.5,829.286,2.01E+02
831,34:04.5,830.288,2.00E+02
832,34:05.5,831.289,2.00E+02
833,34:06.5,832.289,1.99E+02
834,34:07.5,833.289,1.98E+02
835,34:08.5,834.291,1.98E+02
836,34:09.5,835.292,1.97E+02
837,34:10.5,836.293,1.96E+02
838,34:11.5,837.293,1.95E+02
839,34:12.5,838.294,1.95E+02
840,34:13.5,839.295,1.95E+02
841,34:14.5,840.296,1.94E+02
842,34:15.5,841.296,1.92E+02
843,34:16.5,842.298,1.91E+02
844,34:17.5,843.266,1.90E+02
845,34:18.5,844.267,1.90E+02
846,34:19.5,845.268,1.89E+02
847,34:20.5,846.268,1.89E+02
848,34:21.5,847.269,1.87E+02
849,34:22.5,848.271,1.87E+02
850,34:23.5,849.271,1.85E+02
851,34:24.5,850.272,1.85E+02
852,34:25.5,851.272,1.84E+02
853,34:26.5,852.273,1.84E+02
854,34:27.5,853.274,1.83E+02
855,34:28.5,854.275,1.82E+02
856,34:29.5,855.276,1.82E+02
857,34:30.5,856.276,1.81E+02
858,34:31.6,857.308,1.79E+02
859,34:31.7,857.48,1.80E+02
860,34:33.5,859.247,1.78E+02
861,34:34.5,860.248,1.78E+02
862,34:35.5,861.249,1.77E+02
863,34:36.5,862.25,1.76E+02
864,34:37.5,863.251,1.75E+02
865,34:38.5,864.252,1.74E+02
866,34:39.5,865.253,1.75E+02
867,34:40.5,866.254,1.74E+02
868,34:41.5,867.255,1.73E+02
869,34:42.5,868.255,1.73E+02
870,34:43.5,869.257,1.72E+02
871,34:44.5,870.256,1.71E+02
872,34:45.5,871.257,1.71E+02
873,34:46.5,872.259,1.70E+02
874,34:47.5,873.259,1.70E+02
875,34:48.5,874.227,1.69E+02
876,34:49.5,875.228,1.68E+02
877,34:50.5,876.23,1.68E+02
878,34:51.5,877.23,1.66E+02
879,34:52.5,878.231,1.65E+02
880,34:53.5,879.231,1.64E+02
881,34:54.5,880.233,1.64E+02
